ingredient_name,skin_type,concerns,label,label_int,confidence,reason,sensitivity_score,breadth_score,category
Hydrolyzed Pumpkin Seedcake,Sensitive,"['Acne', 'Redness']",possible irritation,1,3,Moderate irritancy (2) — possible irritation for Sensitive skin,0,6,Other
Hydrolyzed F-Fucoidan,Sensitive,"['Acne', 'Redness']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Marine/Algae
Homosalate,Sensitive,"['Acne', 'Redness']",poor fit,2,5,Directly flagged in avoid list for Sensitive skin and high irritancy (5),2,1,UV Filter
Humectants,Sensitive,"['Acne', 'Redness']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,5,Humectant
Hibiscus Fruit Extract,Sensitive,"['Acne', 'Redness']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,0,Plant Extract
Horse Chestnut,Sensitive,"['Acne', 'Redness']",good fit,0,4,Directly addresses 1 concern(s) and description confirms soothing profile,0,1,Other
Heptapeptide-15 Palmitate,Sensitive,"['Acne', 'Redness']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Peptide
Guarana Extract,Sensitive,"['Acne', 'Redness']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,0,Plant Extract
Histidine,Sensitive,"['Acne', 'Redness']",good fit,0,3,Addresses 1 concern(s); low irritancy,0,4,Amino Acid
Lecithin,Sensitive,"['Acne', 'Redness']",possible irritation,1,3,Moderate irritancy (3) — possible irritation for Sensitive skin,0,4,Lipid/Oil
L-Carnitine,Sensitive,"['Acne', 'Redness']",good fit,0,4,Directly addresses 1 concern(s) and description confirms soothing profile,0,3,Other
Lactobionic Acid,Sensitive,"['Acne', 'Redness']",good fit,0,4,Directly addresses 1 concern(s) and description confirms soothing profile,0,9,Other
L-Ascorbic Acid,Sensitive,"['Acne', 'Redness']",poor fit,2,5,Directly flagged in avoid list for Sensitive skin and high irritancy (8),3,5,Vitamin C
Laminaria Ochroleuca (Kelp) Extract,Sensitive,"['Acne', 'Redness']",good fit,0,3,Description strongly soothing/calming; low irritancy even without direct concern match,0,3,Marine/Algae
Lactococcus Ferment Lysate,Sensitive,"['Acne', 'Redness']",good fit,0,4,Directly addresses 2 concern(s) and description confirms soothing profile,0,3,Probiotic/Ferment
Lactic Acid,Sensitive,"['Acne', 'Redness']",poor fit,2,5,Directly flagged in avoid list for Sensitive skin and high irritancy (5),2,8,AHA
Lactobacillus Ferment,Sensitive,"['Acne', 'Redness']",good fit,0,4,Directly addresses 2 concern(s) and description confirms soothing profile,0,3,Probiotic/Ferment
Lactobacillus Extract Filtrate,Sensitive,"['Acne', 'Redness']",good fit,0,4,Directly addresses 2 concern(s) and description confirms soothing profile,0,3,Probiotic/Ferment
Jojoba Oil,Sensitive,"['Acne', 'Redness']",possible irritation,1,3,Moderate irritancy (2) — possible irritation for Sensitive skin,0,4,Lipid/Oil
Kola Seed Extract,Sensitive,"['Acne', 'Redness']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,0,Plant Extract
Jeju Green Tea Water,Sensitive,"['Acne', 'Redness']",good fit,0,4,Directly addresses 1 concern(s) and description confirms soothing profile,0,3,Plant Extract
Kojic Acid,Sensitive,"['Acne', 'Redness']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Other
Isoleucine,Sensitive,"['Acne', 'Redness']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,2,Amino Acid
Jojoba Beads,Sensitive,"['Acne', 'Redness']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,2,Other
Macrocystis Pyrifera (Kelp) Extract,Sensitive,"['Acne', 'Redness']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Marine/Algae
Magnesium Sulfate,Sensitive,"['Acne', 'Redness']",good fit,0,4,Directly addresses 1 concern(s) and description confirms soothing profile,0,1,Mineral
Magnesium Ascorbyl Phosphate,Sensitive,"['Acne', 'Redness']",poor fit,2,4,"High combined irritancy score (5): category=Vitamin C, sensitivity=1, desc signals=2",1,3,Vitamin C
Lysine,Sensitive,"['Acne', 'Redness']",good fit,0,4,Directly addresses 1 concern(s) and description confirms soothing profile,0,6,Amino Acid
Lily Extract,Sensitive,"['Acne', 'Redness']",good fit,0,3,Description strongly soothing/calming; low irritancy even without direct concern match,0,0,Plant Extract
Luffa Cylindrica Extract,Sensitive,"['Acne', 'Redness']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,0,Plant Extract
Linolenic Acid,Sensitive,"['Acne', 'Redness']",possible irritation,1,3,Moderate irritancy (2) — possible irritation for Sensitive skin,0,4,Lipid/Oil
Linoleic Acid,Sensitive,"['Acne', 'Redness']",possible irritation,1,3,Moderate irritancy (3) — possible irritation for Sensitive skin,0,4,Lipid/Oil
Leucine,Sensitive,"['Acne', 'Redness']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,6,Amino Acid
Licorice Extract,Sensitive,"['Acne', 'Redness']",good fit,0,4,Directly addresses 1 concern(s) and description confirms soothing profile,0,4,Plant Extract
Natural Moisturising Factors,Sensitive,"['Acne', 'Redness']",good fit,0,3,Addresses 1 concern(s); low irritancy,0,5,Other
Licochalcone A,Sensitive,"['Acne', 'Redness']",good fit,0,3,Description strongly soothing/calming; low irritancy even without direct concern match,0,0,Other
Naringenin Chalcone,Sensitive,"['Acne', 'Redness']",good fit,0,4,Directly addresses 1 concern(s) and description confirms soothing profile,0,2,Other
Myristoyl Nonapeptide,Sensitive,"['Acne', 'Redness']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Peptide
Myristol Pentapeptide,Sensitive,"['Acne', 'Redness']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Peptide
Milk Thistle Extract,Sensitive,"['Acne', 'Redness']",good fit,0,4,Directly addresses 1 concern(s) and description confirms soothing profile,0,2,Plant Extract
Myristol Hexapeptide,Sensitive,"['Acne', 'Redness']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Peptide
Mushroom Extract,Sensitive,"['Acne', 'Redness']",good fit,0,3,Description strongly soothing/calming; low irritancy even without direct concern match,0,1,Plant Extract
Moringa Seed Extract,Sensitive,"['Acne', 'Redness']",good fit,0,4,Directly addresses 1 concern(s) and description confirms soothing profile,0,5,Plant Extract
Marshmallow Root,Sensitive,"['Acne', 'Redness']",good fit,0,4,Directly addresses 1 concern(s) and description confirms soothing profile,0,1,Other
Mineral UV Filters,Sensitive,"['Acne', 'Redness']",poor fit,2,4,"High combined irritancy score (4): category=UV Filter, sensitivity=1, desc signals=0",1,1,UV Filter
Meadowfoam Seed Oil,Sensitive,"['Acne', 'Redness']",possible irritation,1,3,Moderate irritancy (3) — possible irritation for Sensitive skin,0,3,Lipid/Oil
Marine Extract,Sensitive,"['Acne', 'Redness']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Marine/Algae
Mango Seed Butter,Sensitive,"['Acne', 'Redness']",possible irritation,1,3,Moderate irritancy (3) — possible irritation for Sensitive skin,0,1,Lipid/Oil
Palmitoyl Oligopeptide,Sensitive,"['Acne', 'Redness']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Peptide
Mandelic Acid,Sensitive,"['Acne', 'Redness']",poor fit,2,5,Directly flagged in avoid list for Sensitive skin and high irritancy (5),2,8,AHA
Palmitoyl Nonapeptide,Sensitive,"['Acne', 'Redness']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Peptide
Palmitoyl Pentapeptide,Sensitive,"['Acne', 'Redness']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Peptide
Palmitoyl Glycine,Sensitive,"['Acne', 'Redness']",good fit,0,3,Description strongly soothing/calming; low irritancy even without direct concern match,0,3,Amino Acid
Palmitoyl Heptapeptide,Sensitive,"['Acne', 'Redness']",possible irritation,1,2,Gentle ingredient with no concern match; neutral fit [label adjusted for expert variance],0,3,Peptide
Octocrylene,Sensitive,"['Acne', 'Redness']",poor fit,2,5,Directly flagged in avoid list for Sensitive skin and high irritancy (3),2,1,Other
Palmitoyl Decapeptide,Sensitive,"['Acne', 'Redness']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Peptide
Oligopeptide,Sensitive,"['Acne', 'Redness']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Peptide
Padina Pavonica Thallus Extract,Sensitive,"['Acne', 'Redness']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Plant Extract
Oat Extract,Sensitive,"['Acne', 'Redness']",good fit,0,4,Directly addresses 1 concern(s) and description confirms soothing profile,0,4,Plant Extract
Octisalate,Sensitive,"['Acne', 'Redness']",poor fit,2,5,Directly flagged in avoid list for Sensitive skin and high irritancy (5),2,1,UV Filter
Octinoxate,Sensitive,"['Acne', 'Redness']",poor fit,2,5,Directly flagged in avoid list for Sensitive skin and high irritancy (5),2,1,UV Filter
Polyhydroxy Acids,Sensitive,"['Acne', 'Redness']",good fit,0,4,Directly addresses 1 concern(s) and description confirms soothing profile,0,9,Other
Porphyridium Cruentum Extract,Sensitive,"['Acne', 'Redness']",good fit,0,3,Description strongly soothing/calming; low irritancy even without direct concern match,0,3,Plant Extract
Polyporus Umbellatus (Mushroom) Extract,Sensitive,"['Acne', 'Redness']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,2,Plant Extract
Phytic Acid,Sensitive,"['Acne', 'Redness']",good fit,0,4,Directly addresses 1 concern(s) and description confirms soothing profile,0,3,Other
Plankton Extract,Sensitive,"['Acne', 'Redness']",good fit,0,3,Description strongly soothing/calming; low irritancy even without direct concern match,0,3,Marine/Algae
Perfluorodecalin,Sensitive,"['Acne', 'Redness']",good fit,0,4,Directly addresses 2 concern(s) and description confirms soothing profile,0,4,Other
Phytosphingosine,Sensitive,"['Acne', 'Redness']",possible irritation,1,3,Moderate irritancy (2) — possible irritation for Sensitive skin,0,4,Ceramide
Phospholipids,Sensitive,"['Acne', 'Redness']",possible irritation,1,3,Moderate irritancy (3) — possible irritation for Sensitive skin,0,4,Lipid/Oil
Palmitoyl  Tripeptide-1,Sensitive,"['Acne', 'Redness']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Peptide
Pentapeptide,Sensitive,"['Acne', 'Redness']",possible irritation,1,3,Moderate irritancy (2) — possible irritation for Sensitive skin,0,3,Peptide
Palmitoyl Tetrapeptide,Sensitive,"['Acne', 'Redness']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Peptide
Parachlorella Beijerinckii Exopolysaccharides,Sensitive,"['Acne', 'Redness']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Other
Retinyl Retinoate,Sensitive,"['Acne', 'Redness']",poor fit,2,5,Directly flagged in avoid list for Sensitive skin and high irritancy (8),3,9,Retinoid
Palmitoyl Tripeptide,Sensitive,"['Acne', 'Redness']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Peptide
Neurophroline,Sensitive,"['Acne', 'Redness']",good fit,0,4,Directly addresses 2 concern(s) and description confirms soothing profile,0,5,Other
Retinyl Propionate,Sensitive,"['Acne', 'Redness']",poor fit,2,5,Directly flagged in avoid list for Sensitive skin and high irritancy (7),3,7,Retinoid
Retinyl Palmitate,Sensitive,"['Acne', 'Redness']",poor fit,2,4,"High combined irritancy score (6): category=Retinoid, sensitivity=2, desc signals=0",2,1,Retinoid
Retinol,Sensitive,"['Acne', 'Redness']",poor fit,2,5,Directly flagged in avoid list for Sensitive skin and high irritancy (7),3,9,Retinoid
Resveratrol,Sensitive,"['Acne', 'Redness']",good fit,0,3,Description strongly soothing/calming; low irritancy even without direct concern match,0,3,Other
Red Algae,Sensitive,"['Acne', 'Redness']",good fit,0,3,Description strongly soothing/calming; low irritancy even without direct concern match,0,3,Marine/Algae
Quercetin,Sensitive,"['Acne', 'Redness']",good fit,0,3,Description strongly soothing/calming; low irritancy even without direct concern match,0,3,Other
Pseudoalteromonas Exopolysaccharides,Sensitive,"['Acne', 'Redness']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Other
Proline,Sensitive,"['Acne', 'Redness']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,5,Amino Acid
Potassium Azeloyl Diglycinate,Sensitive,"['Acne', 'Redness']",possible irritation,1,3,Moderate irritancy (2) — possible irritation for Sensitive skin,1,7,Other
Probiotics,Sensitive,"['Acne', 'Redness']",good fit,0,4,Directly addresses 2 concern(s) and description confirms soothing profile,0,3,Probiotic/Ferment
Prickly Pear Extract,Sensitive,"['Acne', 'Redness']",good fit,0,4,Directly addresses 1 concern(s) and description confirms soothing profile,0,1,Plant Extract
Snow Mushroom Extract,Sensitive,"['Acne', 'Redness']",good fit,0,4,Directly addresses 1 concern(s) and description confirms soothing profile,0,4,Plant Extract
Prebiotics,Sensitive,"['Acne', 'Redness']",good fit,0,4,Directly addresses 2 concern(s) and description confirms soothing profile,0,3,Probiotic/Ferment
